"model","R2","MAE","RMSE","k","q"
"FFRK_rpart",0.385345352215703,0.667238888648243,0.894883794385774,30,9
"FFRK_svmRadial",0.440461674644788,0.626375533110072,0.853819320274634,30,9
"FFRK_lm",0.458417962147244,0.628200991771973,0.840007540286814,30,10
"FFRK_rf",0.469513102555643,0.584872100837984,0.831358591569687,30,10
"FFRK_rpart",0.423194283817911,0.631750964145893,0.866893678984643,30,10
"FFRK_svmRadial",0.451858977016032,0.618051671746313,0.845078808762529,30,10
"FFRK_lm",0.463329395738469,0.625717476423595,0.836189986209905,30,11
"FFRK_rf",0.47507048079258,0.586608321539417,0.82699247225942,30,11
"FFRK_rpart",0.370141787805471,0.678533105594361,0.905883723512787,30,11
"FFRK_svmRadial",0.435177508045887,0.621992958566673,0.857841494790172,30,11
"FFRK_lm",0.469730298206617,0.617939608247538,0.831188383825215,30,12
"FFRK_rf",0.495819061203773,0.565114688598563,0.810483671596375,30,12
"FFRK_rpart",0.367192601353223,0.681725465820348,0.90800205738557,30,12
"FFRK_svmRadial",0.406221243583169,0.633115671955931,0.879555778893416,30,12
"FFRK_lm",0.463038780800798,0.622836033941257,0.836416360087505,30,13
"FFRK_rf",0.493859757091193,0.573169765897857,0.812056960160039,30,13
"FFRK_rpart",0.42327945885553,0.631689410343464,0.866829670926389,30,13
"FFRK_svmRadial",0.402115212216102,0.630826069280989,0.882591641697605,30,13
"FFRK_lm",0.453570676356368,0.631923869543834,0.843758298327361,30,14
"FFRK_rf",0.482323416280688,0.590582484634517,0.821259334583952,30,14
"FFRK_rpart",0.356780482599984,0.683357491029546,0.915441645129939,30,14
"FFRK_svmRadial",0.384323530458298,0.647797637347737,0.895627327370847,30,14
"FFRK_lm",0.472110870391834,0.612841700995919,0.81584667441953,30,15
"FFRK_rf",0.510349276466964,0.562203365016923,0.785742760618439,30,15
"FFRK_rpart",0.414916815272953,0.629988689146132,0.858906711670659,30,15
"FFRK_svmRadial",0.411724636001384,0.628498622454372,0.861246596568078,30,15
"FFRK_lm",0.475244820197934,0.612841327942699,0.813421327411245,30,16
"FFRK_rf",0.50945017796227,0.562783630475946,0.786463821676265,30,16
"FFRK_rpart",0.416852357692126,0.625008946361573,0.857484839016197,30,16
"FFRK_svmRadial",0.431648687968039,0.621606254524368,0.846536369912575,30,16
"FFRK_lm",0.472345773178899,0.612554640451589,0.82913599452975,30,17
"FFRK_rf",0.493976353085598,0.575624819720191,0.811963420826248,30,17
"FFRK_rpart",0.385383005394281,0.667229113923656,0.894856384086764,30,17
"FFRK_svmRadial",0.417463268811628,0.615227936784479,0.871189667031355,30,17
"FFRK_lm",0.466486527114627,0.616028750352467,0.833726784683901,30,18
"FFRK_rf",0.504235959094045,0.572561167254144,0.803690009948143,30,18
"FFRK_rpart",0.435944021753251,0.624475604117678,0.857259214062407,30,18
"FFRK_svmRadial",0.419570354128837,0.621497128264125,0.869612655822239,30,18
"FFRK_lm",0.468094715328595,0.624855590716233,0.832469270506776,30,19
"FFRK_rf",0.49645786161445,0.581686053824867,0.80997006491226,30,19
"FFRK_rpart",0.423679771030169,0.630952369672311,0.866528777615043,30,19
"FFRK_svmRadial",0.425798539242029,0.644233417708134,0.864934469384747,30,19
"FFRK_lm",0.476852133930787,0.61785276503262,0.825587839802134,30,20
"FFRK_rf",0.499268522634493,0.57736680696862,0.807706364604123,30,20
"FFRK_rpart",0.423516277892785,0.631292031074246,0.86665167930692,30,20
"FFRK_svmRadial",0.406398680032129,0.643799165991016,0.879424352067171,30,20
