"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.526118219747312,0.400335853176623,0.514193781225541,50,9
"FFRK_rf",0.575214130406505,0.365366324407665,0.486829453022154,50,9
"FFRK_rpart",0.352548539437881,0.470785577382972,0.601028991988355,50,9
"FFRK_svmRadial",0.553336927199012,0.370079090534992,0.499208347615123,50,9
"FFRK_lm",0.551042965813151,0.388917841710873,0.501051921178804,50,10
"FFRK_rf",0.61500152230731,0.350850169430998,0.463991310859693,50,10
"FFRK_rpart",0.421929377189058,0.456778007180931,0.568552784917323,50,10
"FFRK_svmRadial",0.594559774310771,0.368438360811902,0.476149967426804,50,10
"FFRK_lm",0.543992841285776,0.389752294189676,0.505635397013991,50,11
"FFRK_rf",0.584697699814023,0.36539230125486,0.482540541340665,50,11
"FFRK_rpart",0.421733241676202,0.457122283456477,0.569397757815554,50,11
"FFRK_svmRadial",0.610107111024537,0.362222313031708,0.46754594641956,50,11
