"k","model","o","p"
2,"hier_rpart",2.19722457733622,3.12282147029207
2,"hier_rpart",3.40119738166216,3.00786714401097
2,"hier_rpart",3.25809653802148,3.00786714401097
2,"hier_rpart",3.40119738166216,3.38298994656275
2,"hier_rpart",3.46573590279973,3.00786714401097
2,"hier_rpart",3.61091791264422,3.12282147029207
2,"hier_rpart",3.52636052461616,3.38298994656275
2,"hier_rpart",2.89037175789616,3.00786714401097
2,"hier_rpart",2.77258872223978,3.12282147029207
2,"hier_rpart",2.89037175789616,3.00786714401097
2,"hier_rpart",3.8286413964891,3.12282147029207
2,"hier_rpart",2.89037175789616,3.00786714401097
2,"hier_rpart",2.63905732961526,3.12282147029207
2,"hier_rpart",4.28358656186063,4.00646857742228
2,"hier_rpart",3.17805383034795,3.00786714401097
2,"hier_rpart",2.70805020110221,3.12282147029207
2,"hier_rpart",4.31748811353631,4.00646857742228
2,"hier_rpart",2.77258872223978,3.12282147029207
2,"hier_rpart",3.17805383034795,4.00646857742228
2,"hier_rpart",3.09104245335832,4.00646857742228
2,"hier_rpart",1.94591014905531,3.12282147029207
2,"hier_rpart",2.63905732961526,3.12282147029207
2,"hier_rpart",2.99573227355399,3.38298994656275
2,"hier_rpart",3.78418963391826,3.12282147029207
2,"hier_rpart",2.39789527279837,4.00646857742228
2,"hier_rpart",2.63905732961526,2.51286695909079
2,"hier_rpart",4.56434819146784,4.00646857742228
2,"hier_rpart",4.23410650459726,3.00786714401097
2,"hier_rpart",4.64439089914137,4.00646857742228
2,"hier_rpart",4.96284463025991,4.00646857742228
2,"hier_rpart",3.17805383034795,3.12282147029207
2,"hier_rpart",3.36729582998647,3.12282147029207
2,"hier_rpart",3.09104245335832,3.00786714401097
2,"hier_rpart",4.06044301054642,4.00646857742228
2,"hier_rpart",3.87120101090789,3.12282147029207
2,"hier_rpart",3.68887945411394,3.12282147029207
2,"hier_rpart",3.29583686600433,4.00646857742228
2,"hier_rpart",4.43081679884331,4.00646857742228
2,"hier_rpart",4.96284463025991,4.00646857742228
2,"hier_rpart",3.40119738166216,3.12282147029207
2,"hier_rpart",3.63758615972639,3.12282147029207
2,"hier_rpart",3.3322045101752,3.00786714401097
2,"hier_rpart",1.6094379124341,4.00646857742228
2,"hier_rpart",3.78418963391826,3.12282147029207
2,"hier_rpart",2.77258872223978,3.00786714401097
2,"hier_rpart",3.17805383034795,4.00646857742228
2,"hier_rpart",4.11087386417331,3.12282147029207
2,"hier_rpart",3.17805383034795,3.00786714401097
2,"hier_rpart",2.07944154167984,3.00786714401097
2,"hier_rpart",1.79175946922805,3.12282147029207
2,"hier_rpart",3.68887945411394,3.12282147029207
2,"hier_rpart",2.83321334405622,3.12282147029207
2,"hier_rpart",4.29045944114839,4.00646857742228
2,"hier_rpart",2.484906649788,3.00786714401097
2,"hier_rpart",4.77068462446567,4.00646857742228
2,"hier_rpart",4.75359019110636,4.00646857742228
2,"hier_rpart",3.98898404656427,4.00646857742228
2,"hier_rpart",4.11087386417331,3.12282147029207
2,"hier_rpart",3.25809653802148,3.00786714401097
2,"hier_rpart",3.52636052461616,3.12282147029207
2,"hier_rpart",3.58351893845611,3.12282147029207
2,"hier_rpart",4.79579054559674,4.00646857742228
2,"hier_rpart",4.26267987704132,4.00646857742228
2,"hier_rpart",3.98898404656427,4.00646857742228
2,"hier_rpart",4.35670882668959,4.00646857742228
2,"hier_rpart",2.83321334405622,3.12282147029207
2,"hier_rpart",2.99573227355399,3.00786714401097
2,"hier_rpart",3.66356164612965,4.00646857742228
2,"hier_rpart",3.46573590279973,3.12282147029207
2,"hier_rpart",2.30258509299405,3.00786714401097
2,"hier_rpart",4.34963256686288,4.00646857742228
2,"hier_rpart",4.70048036579242,3.12282147029207
2,"hier_rpart",4.60517018598809,4.00646857742228
2,"hier_rpart",2.07944154167984,3.00786714401097
2,"hier_rpart",2.07944154167984,3.00786714401097
2,"hier_rpart",3.44998754583159,4.00646857742228
2,"hier_rpart",3.25809653802148,4.00646857742228
2,"hier_rpart",4.18965474202643,4.00646857742228
2,"hier_rpart",3.36729582998647,3.38298994656275
2,"hier_rpart",2.89037175789616,3.38298994656275
2,"hier_rpart",2.77258872223978,3.12282147029207
2,"hier_rpart",3.3322045101752,4.00646857742228
2,"hier_rpart",3.91202300542815,4.00646857742228
2,"hier_rpart",2.77258872223978,3.38298994656275
2,"hier_rpart",3.2188758248682,3.00786714401097
2,"hier_rpart",3.40119738166216,3.12282147029207
2,"hier_rpart",3.97029191355212,4.00646857742228
2,"hier_rpart",2.07944154167984,2.24874130840529
2,"hier_rpart",1.09861228866811,3.00786714401097
2,"hier_rpart",3.40119738166216,3.38298994656275
2,"hier_rpart",3.04452243772342,4.00646857742228
2,"hier_rpart",2.77258872223978,3.12282147029207
2,"hier_rpart",4.93447393313069,4.00646857742228
2,"hier_rpart",5.04985600724954,4.00646857742228
2,"hier_rpart",3.71357206670431,2.24874130840529
2,"hier_rpart",4.59511985013459,4.00646857742228
2,"hier_rpart",3.87120101090789,4.00646857742228
2,"hier_rpart",4.33073334028633,4.00646857742228
2,"hier_rpart",4.23410650459726,4.00646857742228
2,"hier_rpart",4.06044301054642,4.00646857742228
2,"hier_rpart",4.53259949315326,4.00646857742228
2,"hier_rpart",4.35670882668959,4.00646857742228
2,"hier_rpart",4.60517018598809,4.00646857742228
2,"hier_rpart",3.63758615972639,4.00646857742228
2,"hier_rpart",4.26267987704132,4.00646857742228
