NewID,DLAT,DLONG,Zn_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH
314,-28.10403,120.73674,6,igneous felsic intrusive,IFI,7.3552,10.2845,525.5629811,0.456679717,351.5697653,0.202421968,0.14755,13.55181654,9.626098333,9.057643398,0.848606833,5.586741459
315,-28.10299,121.07010,61,regolith,RE,8.9186,8.0204,470.9836387,0.129620926,45.86723175,0.086829419,0.1566,9.619283727,5.9656919,4.760527027,0.805213931,5.707239361
316,-28.10242,120.42884,26,regolith,RE,3.1097,0.4003,451.6451982,0.137867022,188.92384,0.214600262,0.20674,15.21196231,3.983480571,5.665322466,0.890208913,5.814723372
317,-28.10164,120.98661,5,regolith,RE,6.9705,4.4405,512.7981551,0.31736413,166.940342,0.317083921,0.2141,5.471486493,1.96794918,2.527535521,0.863378693,5.319577959
318,-28.10110,120.87940,25,regolith,RE,3.4069,3.6602,505.3040915,0.237154015,84.18721314,0.50021683,0.19216,1.898201805,1.898201805,9.773483228,0.894234221,5.525016499
319,-28.10064,121.19662,6,regolith,RE,5.2468,21.3435,476.5851686,0.244775082,299.0470804,2.843598375,0.17852,18.75775393,8.247412384,15.56645237,0.913692649,5.577201652
320,-28.09908,120.68897,34,regolith,RE,5.1101,6.9139,514.6321728,0.312448677,246.8512174,0.245613775,0.14961,15.10673128,4.539693467,4.631933706,0.844316355,5.820573842
321,-28.09736,121.00114,44,regolith,RE,7.1431,3.3977,492.1731826,0.596754776,59.07140937,0.110805671,0.17769,7.376992075,2.387264257,2.255878172,0.837554531,5.39266658
322,-28.09556,120.39079,28,regolith,RE,7.4009,4.5940,458.057447,0.176025061,140.7247743,3.82562124,0.20209,14.79705148,8.084978693,9.409715575,0.888733392,5.887918446
323,-28.09428,120.55109,66,regolith,RE,0.2736,1.9075,492.3517318,0.323341406,256.0288613,0.241069421,0.15311,11.51635666,1.257383381,1.473350386,0.885428112,5.660773007
324,-28.09364,120.31058,10,igneous felsic intrusive,IFI,16.2242,13.0304,489.8444785,0.286785524,92.84321717,0.38058266,0.17526,13.8025968,13.8025968,14.00120949,0.853502298,5.652171733
325,-28.09254,120.66801,36,regolith,RE,2.7203,6.7575,504.8153166,0.220595007,310.4295568,0.385011784,0.14346,13.47526759,2.361833543,2.407053479,0.783967236,5.810124265
326,-28.08709,120.57495,94,meta-igneous mafic/ultramafic volcanic,MIMU,0.0000,0.7078,504.2753715,0.505722967,205.2884695,0.056836108,0.15985,10.81950531,0.267871892,2.160910322,0.898364136,5.40579854
327,-28.08511,121.22859,28,igneous felsic intrusive,IFI,8.0535,24.3918,483.9843197,0.291722954,347.6196061,0.095963964,0.17273,22.14122937,5.134450487,15.1484268,0.903773199,5.763789732
328,-28.08391,120.79096,15,regolith,RE,3.4275,10.4040,520.7120602,0.298166359,323.448805,0.360713773,0.18474,8.836993254,8.836993254,13.35107469,0.946159285,5.396696616
329,-28.08349,120.49634,121,igneous mafic intrusive,IMI,0.0000,2.3659,480.4342364,0.196621344,260.8916957,0.31677647,0.15372,10.60807223,0.713112244,0.847514946,0.825293103,5.886679449
330,-28.08298,120.49461,138,igneous mafic intrusive,IMI,0.0000,2.1694,477.4182861,0.245598348,249.314832,0.218520591,0.15622,10.99263711,0.4601842,0.628448634,0.843147912,5.70869984
331,-28.08289,120.49392,148,igneous mafic intrusive,IMI,0.0000,2.0972,477.4182861,0.245598348,249.314832,0.218520591,0.15622,10.99263711,0.4601842,0.628448634,0.843147912,5.70869984
332,-28.08285,120.49280,84,igneous mafic intrusive,IMI,0.0000,1.9861,477.4182861,0.245598348,249.314832,0.218520591,0.15622,10.99263711,0.4601842,0.628448634,0.843147912,5.70869984
333,-28.08284,120.49229,100.42,igneous mafic intrusive,IMI,0.0000,1.9359,477.4182861,0.245598348,249.314832,0.218520591,0.15622,10.99263711,0.4601842,0.628448634,0.843147912,5.70869984
334,-28.08229,120.62002,46,regolith,RE,1.0178,3.9904,511.9367604,0.447162257,91.42461046,0.429193615,0.11891,11.38113164,0.028633435,3.725950556,0.805871783,5.675727975
335,-28.08217,120.46387,22,regolith,RE,0.4238,0.9481,466.4841967,0.225464281,249.1243234,0.021273672,0.16912,11.45975877,1.210079266,1.836754525,0.888231235,5.64086915
336,-28.08089,120.48041,114,igneous mafic volcanic,IMV,0.0000,0.6580,473.9744868,0.268714137,263.9083021,0.18118604,0.15443,11.43353909,0.758321815,0.916883824,0.864709441,5.634398451
337,-28.08049,120.22997,20,igneous felsic intrusive,IFI,25.2866,21.9872,479.1703976,0.246817276,320.1070672,0.100684169,0.17643,12.68935469,12.68935469,13.15246098,0.895895646,5.77820311
