,NewID,DLAT,DLONG,Pb_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH,y
906,929,-27.37802633,120.7608,18,regolith,RE,1.1146,19.7308,544.7525111,0.408625391,336.8338879,0.103690062,0.19436,26.26624986,22.14893047,13.79616605,0.837626315,5.764248405,2.890371758
907,930,-27.37648664,120.4228101,19,regolith,RE,3.5779,14.5321,499.3583316,0.242477485,228.1747346,0.270234962,0.18735,10.22538369,7.603983636,9.70612109,0.818415997,6.026567095,2.944438979
908,931,-27.37322637,120.72674,11,regolith,RE,3.8675,16.0748,532.3999694,0.29074272,313.8854157,3.800005288,0.17759,22.41249273,21.78679881,9.906925988,0.885425838,5.794270087,2.397895273
909,932,-27.36681623,120.8118398,16,regolith,RE,2.6732,25.5143,549.5674953,0.455113831,318.0116821,2.875977063,0.17228,32.33059392,17.41480365,13.13890557,0.913363505,5.680754832,2.772588722
910,933,-27.36664651,120.5202901,35,igneous felsic intrusive,IFI,0,3.9961,541.3238345,0.690527834,251.0572728,0.161974597,0.13818,0.732405421,0.732405421,1.294811035,0.78093946,5.607397819,3.555348061
911,934,-27.36634646,120.6113801,24,regolith,RE,0.0393,3.6204,545.7800441,0.37216972,124.260462,0.367743224,0.17604,10.50587254,10.14227916,3.620345695,0.791031458,5.640102085,3.17805383
912,935,-27.36625641,120.68672,10,regolith,RE,3.5613,11.8666,522.2770467,0.230411205,283.1837084,0.185207358,0.19052,18.98299078,17.71158506,6.664833929,0.895877865,5.933596055,2.302585093
913,936,-27.36574672,120.30794,17,regolith,RE,5.6768,26.0861,477.5707923,0.016631531,157.7339415,0.603074158,0.18827,21.6445831,7.911431108,21.14026829,0.78425776,5.830282239,2.833213344
914,937,-27.36281651,120.4780901,22,regolith,RE,2.2714,8.2518,529.654912,0.333585013,220.7297987,0.015822737,0.14964,2.958625083,2.252519617,2.611890566,0.758178394,6.059369802,3.091042453
915,938,-27.36181668,120.3963001,16,regolith,RE,3.4708,16.7039,498.1077595,0.245084582,249.3466022,0.588709948,0.17662,12.61104292,6.706077597,12.0875735,0.835603774,6.056063732,2.772588722
916,939,-27.35542656,120.1667001,12,regolith,RE,5.4023,33.1865,483.6695729,0.044219535,124.200246,2.535983631,0.18713,37.43468989,5.9865179,37.00443329,0.873684777,5.777846093,2.48490665
917,940,-27.35307654,120.0584402,28,regolith,RE,4.3232,40.1061,508.8069569,0.235463692,98.43976764,2.838533798,0.2035,49.36869243,0.068982602,48.96968694,0.850780043,5.822969343,3.33220451
918,941,-27.35144657,120.1185201,30,regolith,RE,7.7663,36.2079,487.8517275,0.07961319,67.98552489,3.3001036,0.19503,42.37324253,5.03378073,41.97057323,0.90060329,5.752301341,3.401197382
